latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.54833,13.407822,38,0,GMT,GMT
,,,,,
time,temperature_2m (°C),relative_humidity_2m (%),wind_speed_10m (km/h),shortwave_radiation (W/m²),
2026-02-08T00:00,0.7,98,7.6,0,
2026-02-08T01:00,0.6,99,7.1,0,
2026-02-08T02:00,0.4,99,7.8,0,
2026-02-08T03:00,0.3,99,8.6,0,
2026-02-08T04:00,0.3,97,8.9,0,
2026-02-08T05:00,0.2,98,8.5,0,
2026-02-08T06:00,0,98,8.5,0,
2026-02-08T07:00,-0.1,96,8.7,1,
2026-02-08T08:00,0,95,8.5,15,
2026-02-08T09:00,0.2,92,8.6,37,
2026-02-08T10:00,0.4,89,8.5,60,
2026-02-08T11:00,0.6,88,7.7,85,
2026-02-08T12:00,0.6,86,8,80,
2026-02-08T13:00,0.8,83,8.8,73,
2026-02-08T14:00,1,81,8.1,69,
2026-02-08T15:00,1,81,6.9,48,
2026-02-08T16:00,0.6,83,6.7,12,
2026-02-08T17:00,0.4,83,7.9,0,
2026-02-08T18:00,0.2,86,7.6,0,
2026-02-08T19:00,0,86,8.4,0,
2026-02-08T20:00,-0.2,88,8.7,0,
2026-02-08T21:00,-0.4,89,9,0,
2026-02-08T22:00,-0.4,90,8.8,0,
2026-02-08T23:00,-0.4,90,8.6,0,
2026-02-09T00:00,-0.3,91,8.8,0,
2026-02-09T01:00,-0.4,92,9.1,0,
2026-02-09T02:00,-0.5,91,9.8,0,
2026-02-09T03:00,-0.6,91,9.7,0,
2026-02-09T04:00,-0.7,91,9.4,0,
2026-02-09T05:00,-0.7,91,9.4,0,
2026-02-09T06:00,-0.6,92,10.1,0,
2026-02-09T07:00,-0.6,91,10.7,1,
2026-02-09T08:00,-0.5,90,12.3,23,
2026-02-09T09:00,0,87,12.5,82,
2026-02-09T10:00,0.6,84,13,120,
2026-02-09T11:00,1,83,12,121,
2026-02-09T12:00,0.8,81,11.9,105,
2026-02-09T13:00,1.2,77,11.1,103,
2026-02-09T14:00,1.5,76,11.4,106,
2026-02-09T15:00,1.5,76,11,77,
2026-02-09T16:00,0.9,79,9.7,21,
2026-02-09T17:00,0.7,80,9.6,0,
2026-02-09T18:00,0.6,85,9.5,0,
2026-02-09T19:00,0.4,86,9.2,0,
2026-02-09T20:00,0.2,86,9,0,
2026-02-09T21:00,0.2,86,9.1,0,
2026-02-09T22:00,0.1,85,9.5,0,
2026-02-09T23:00,-0.1,86,9.9,0,
2026-02-10T00:00,-0.1,90,9.8,0,
2026-02-10T01:00,-0.1,91,9.1,0,
2026-02-10T02:00,-0.1,92,8.3,0,
2026-02-10T03:00,-0.1,93,8.3,0,
2026-02-10T04:00,-0.1,93,8.5,0,
2026-02-10T05:00,0,93,8.4,0,
2026-02-10T06:00,0,94,9.1,0,
2026-02-10T07:00,0.3,93,9.4,2,
2026-02-10T08:00,0.6,93,7.6,37,
2026-02-10T09:00,1.5,90,7.1,129,
2026-02-10T10:00,2.7,86,7.1,219,
2026-02-10T11:00,3.9,81,7.3,278,
2026-02-10T12:00,3.2,80,12,278,
2026-02-10T13:00,4.1,73,13.2,203,
2026-02-10T14:00,4.4,71,11.9,143,
2026-02-10T15:00,3.7,76,8.8,112,
2026-02-10T16:00,2.2,83,10.4,40,
2026-02-10T17:00,1.6,85,12.1,0,
2026-02-10T18:00,1.2,89,13.4,0,
2026-02-10T19:00,1.5,88,13.2,0,
2026-02-10T20:00,1.6,88,13,0,
2026-02-10T21:00,1.7,88,13,0,
2026-02-10T22:00,1.9,88,12.2,0,
2026-02-10T23:00,2.2,88,11.4,0,
2026-02-11T00:00,2.3,89,10.6,0,
2026-02-11T01:00,2.7,88,10.3,0,
2026-02-11T02:00,2.5,90,10.9,0,
2026-02-11T03:00,2.6,91,10.8,0,
2026-02-11T04:00,2.6,92,9.6,0,
2026-02-11T05:00,2.2,92,8.9,0,
2026-02-11T06:00,2.2,95,9.4,0,
2026-02-11T07:00,2.5,96,8.7,3,
2026-02-11T08:00,3.3,94,9,38,
2026-02-11T09:00,4.3,92,9.5,110,
2026-02-11T10:00,5.4,92,7.1,161,
2026-02-11T11:00,6.1,91,6.3,105,
2026-02-11T12:00,7.4,82,5.5,258,
2026-02-11T13:00,8.2,77,9,308,
2026-02-11T14:00,7.8,79,5.2,133,
2026-02-11T15:00,6.3,88,6.3,16,
2026-02-11T16:00,5.6,90,5.9,10,
2026-02-11T17:00,4.6,93,6.8,0,
2026-02-11T18:00,4.3,97,7.8,0,
2026-02-11T19:00,4.2,98,8,0,
2026-02-11T20:00,4.1,98,7,0,
2026-02-11T21:00,3.8,98,7.9,0,
2026-02-11T22:00,3.5,99,7.6,0,
2026-02-11T23:00,3,99,7.1,0,
2026-02-12T00:00,3.4,100,9.2,0,
2026-02-12T01:00,3.8,100,7.7,0,
2026-02-12T02:00,3.7,100,7.9,0,
2026-02-12T03:00,3.7,100,7.2,0,
2026-02-12T04:00,3.5,100,7.2,0,
2026-02-12T05:00,3.2,100,7.2,0,
2026-02-12T06:00,4.6,99,6.1,0,
2026-02-12T07:00,4.6,99,6.6,2,
2026-02-12T08:00,4.9,100,6.8,24,
2026-02-12T09:00,5.4,100,8.1,54,
2026-02-12T10:00,6.2,98,10.1,102,
2026-02-12T11:00,7.2,95,10.7,100,
2026-02-12T12:00,7.9,95,7.5,141,
2026-02-12T13:00,7.7,95,10.1,82,
2026-02-12T14:00,7.2,96,12,60,
2026-02-12T15:00,6.7,97,10.2,30,
2026-02-12T16:00,6.3,97,9.3,6,
2026-02-12T17:00,5.9,98,6.8,0,
2026-02-12T18:00,6.1,99,6.4,0,
2026-02-12T19:00,5.8,98,4.4,0,
2026-02-12T20:00,5.6,97,6,0,
2026-02-12T21:00,5.2,99,18.3,0,
2026-02-12T22:00,2.8,98,21,0,
2026-02-12T23:00,2.2,97,17.6,0,
2026-02-13T00:00,1.5,97,16.1,0,
2026-02-13T01:00,1.3,99,13.8,0,
2026-02-13T02:00,1,98,15.7,0,
2026-02-13T03:00,0.6,99,13.3,0,
2026-02-13T04:00,0.6,98,11.2,0,
2026-02-13T05:00,0.6,98,11.2,0,
2026-02-13T06:00,0.6,98,10.4,0,
2026-02-13T07:00,0.4,97,10.4,3,
2026-02-13T08:00,0.8,94,12.1,30,
2026-02-13T09:00,1.1,92,11.1,53,
2026-02-13T10:00,1.5,90,11.1,74,
2026-02-13T11:00,2,87,9.2,85,
2026-02-13T12:00,1.4,91,7.8,66,
2026-02-13T13:00,1.3,93,7.1,52,
2026-02-13T14:00,0.9,96,8.4,31,
2026-02-13T15:00,0.8,96,9.1,28,
2026-02-13T16:00,0.6,97,8.6,12,
2026-02-13T17:00,0.5,97,9,0,
2026-02-13T18:00,0.3,97,9.9,0,
